Marca temporal,platillo 
2/5/2024 16:00:31,Baho
2/5/2024 16:00:32,enchilada
2/5/2024 16:00:45,sopa_de_mondogo
2/5/2024 16:00:48,nacatamal
2/5/2024 16:00:54,vigoron
2/5/2024 16:00:55,fritanga
2/5/2024 16:00:59,sopa_de_mondogo
2/5/2024 16:01:02,sopa_de_mondogo
2/5/2024 16:01:11,Baho
2/5/2024 16:01:23,Baho
2/5/2024 16:01:30,nacatamal
2/5/2024 16:01:41,enchilada
2/5/2024 16:01:44,Quesillo
2/5/2024 16:01:45,Baho
2/5/2024 16:01:46,Quesillo
2/5/2024 16:01:48,enchilada
2/5/2024 16:01:49,fritanga
2/5/2024 16:01:51,Quesillo
2/5/2024 16:01:52,enchilada
2/5/2024 16:01:55,fritanga
2/5/2024 16:01:57,fritanga
2/5/2024 16:01:57,enchilada
2/5/2024 16:01:58,indio_viejo
2/5/2024 16:02:00,nacatamal
2/5/2024 16:02:00,enchilada
2/5/2024 16:02:01,enchilada
2/5/2024 16:02:02,fritanga
2/5/2024 16:02:06,enchilada
2/5/2024 16:02:08,Quesillo
2/5/2024 16:02:09,nacatamal
2/5/2024 16:02:09,vigoron
2/5/2024 16:02:14,Baho
2/5/2024 16:02:15,nacatamal
2/5/2024 16:02:16,nacatamal
2/5/2024 16:02:17,nacatamal
2/5/2024 16:02:19,fritanga
2/5/2024 16:02:22,enchilada
2/5/2024 16:02:27,nacatamal
2/5/2024 16:02:29,fritanga
2/5/2024 16:02:30,enchilada
2/5/2024 16:02:35,fritanga
2/5/2024 16:02:36,fritanga
2/5/2024 16:02:37,fritanga
2/5/2024 16:02:45,fritanga
2/5/2024 16:02:46,fritanga
2/5/2024 16:02:46,fritanga
2/5/2024 16:02:46,Quesillo
2/5/2024 16:02:58,fritanga
2/5/2024 16:02:59,nacatamal
2/5/2024 16:03:02,fritanga
2/5/2024 16:03:03,fritanga
2/5/2024 16:03:04,fritanga
2/5/2024 16:03:04,nacatamal
2/5/2024 16:03:07,fritanga
2/5/2024 16:03:08,nacatamal
2/5/2024 16:03:11,fritanga
2/5/2024 16:03:11,enchilada
2/5/2024 16:03:12,fritanga
2/5/2024 16:03:12,nacatamal
2/5/2024 16:03:14,enchilada
2/5/2024 16:03:15,fritanga
2/5/2024 16:03:16,nacatamal
2/5/2024 16:03:16,enchilada
2/5/2024 16:03:17,fritanga
2/5/2024 16:03:17,nacatamal
2/5/2024 16:03:18,fritanga
2/5/2024 16:03:18,enchilada
2/5/2024 16:03:19,fritanga
2/5/2024 16:03:20,nacatamal
2/5/2024 16:03:23,enchilada
2/5/2024 16:03:25,nacatamal
2/5/2024 16:03:26,enchilada
2/5/2024 16:03:28,fritanga
2/5/2024 16:03:29,vigoron
2/5/2024 16:03:29,nacatamal
2/5/2024 16:03:30,nacatamal
2/5/2024 16:03:31,enchilada
2/5/2024 16:03:32,nacatamal
2/5/2024 16:03:34,enchilada
2/5/2024 16:03:35,fritanga
2/5/2024 16:03:35,vigoron
2/5/2024 16:03:37,nacatamal
2/5/2024 16:03:37,fritanga
2/5/2024 16:03:40,enchilada
2/5/2024 16:03:40,fritanga
2/5/2024 16:03:42,nacatamal
2/5/2024 16:03:42,Baho
2/5/2024 16:03:45,fritanga
2/5/2024 16:03:48,Baho
2/5/2024 16:03:50,nacatamal
2/5/2024 16:03:50,fritanga
2/5/2024 16:03:51,Baho
2/5/2024 16:03:54,Baho
2/5/2024 16:03:54,fritanga
2/5/2024 16:03:54,nacatamal
2/5/2024 16:03:58,fritanga
2/5/2024 16:04:00,Baho
2/5/2024 16:04:02,nacatamal
2/5/2024 16:04:03,Quesillo
2/5/2024 16:04:06,Baho
2/5/2024 16:04:07,sopa_de_mondogo
2/5/2024 16:04:08,indio_viejo
