Marca temporal,meme song,Otro
17/5/2024 21:02:26,Harlem Shake,
17/5/2024 21:02:49,Turn Down For What,
17/5/2024 21:03:04,Harlem Shake,
17/5/2024 21:03:07,Shooting Stars,
17/5/2024 21:03:28,Gangnam Style,
17/5/2024 21:08:18,Shooting Stars,Roundabout - Yes
17/5/2024 21:10:01,Turn Down For What,The Lion Sleeps Tonight
17/5/2024 21:17:17,Harlem Shake,no sé 
17/5/2024 21:43:26,Turn Down For What,Ni idea 
17/5/2024 21:55:34,Shooting Stars,Mario bro
17/5/2024 21:55:41,Shooting Stars,9 - Armored Core Master of Arena OST
17/5/2024 21:56:52,Gangnam Style,Sanctuary Guardian - Earthbound OST
17/5/2024 21:57:56,Turn Down For What,https://youtu.be/l1JEmnTjdyA?si=N2obledd0-IKeYsE
17/5/2024 21:58:18,Gangnam Style,Running in the 90's
17/5/2024 21:58:45,Shooting Stars,Smash Mouth - All Star
17/5/2024 21:59:36,Shooting Stars,"Guile's Theme - Street Fighter II (Cualquier versión, XD)"
17/5/2024 22:00:30,Gangnam Style,Crazy Frog - Axel F
17/5/2024 22:01:29,Shooting Stars,Soulja Boy Tell'em - Crank That
17/5/2024 22:03:48,Gangnam Style,https://youtu.be/p2cVc1I1qCY?si=KmpjU8ScY3dii5ko
17/5/2024 22:05:06,Gangnam Style,https://youtu.be/N72U-NFu44k?si=nvWJPjezoWefaQds
17/5/2024 22:05:18,Gangnam Style,https://youtu.be/lYBUbBu4W08?si=pnTc0MB0pn0uvcDT
17/5/2024 22:33:46,Turn Down For What,Roundabout
18/5/2024 8:13:06,Gangnam Style,UN Owen was her? COOL&CREATE
18/5/2024 8:51:20,Turn Down For What,No che
18/5/2024 8:52:17,Turn Down For What,.
18/5/2024 8:52:29,Turn Down For What,.
18/5/2024 8:52:54,Shooting Stars,roundabout
18/5/2024 8:53:06,Turn Down For What,Roundabout - Yes
18/5/2024 8:53:30,Turn Down For What,"Soy el Sugar, Juan Caldera "
18/5/2024 8:53:32,Gangnam Style,Japanese Horse WTF?!
18/5/2024 8:53:45,Movimiento Naranja,.
18/5/2024 8:54:11,Harlem Shake,To be continued
18/5/2024 8:55:00,Turn Down For What,https://youtu.be/6SbrXn4XIbM?si=7ehY5HdzIOQDiGrE
18/5/2024 8:55:00,Gangnam Style,uwu
18/5/2024 8:55:07,Gangnam Style,World is Mine
18/5/2024 8:55:07,Gangnam Style,Roundabout 
18/5/2024 8:55:28,Movimiento Naranja,Potaxio deja el bullying 
